"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 04 14:28:33 GMT 2021","Wed Aug 04 14:28:34 GMT 2021","960","selenium_tests","test_A003_reg_invalid_pwd","","","","test_reg_pwd",""
"passed","Wed Aug 04 14:28:29 GMT 2021","Wed Aug 04 14:28:32 GMT 2021","3324","selenium_tests","test_A001_registration","","","","test_reg",""
"passed","Wed Aug 04 14:28:32 GMT 2021","Wed Aug 04 14:28:33 GMT 2021","951","selenium_tests","test_A002_reg_invalid_email","","","","test_reg_email",""
"passed","Wed Aug 04 14:28:34 GMT 2021","Wed Aug 04 14:28:35 GMT 2021","852","selenium_tests","test_A004_login","","","","test_login",""
"passed","Wed Aug 04 14:38:04 GMT 2021","Wed Aug 04 14:38:06 GMT 2021","1107","selenium_tests","test_A008_logout","","","","test_logout",""
"passed","Wed Aug 04 14:38:06 GMT 2021","Wed Aug 04 14:39:17 GMT 2021","70966","selenium_tests","test_A009_edit_username","","","","test_edit_username",""
"passed","Wed Aug 04 14:39:17 GMT 2021","Wed Aug 04 14:40:58 GMT 2021","101216","selenium_tests","test_A010_edit_password","","","","test_edit_password",""
"passed","Wed Aug 04 14:28:39 GMT 2021","Wed Aug 04 14:30:39 GMT 2021","120673","selenium_tests","test_A006_del_post","","","","test_del_post",""
"passed","Wed Aug 04 14:30:39 GMT 2021","Wed Aug 04 14:38:04 GMT 2021","444998","selenium_tests","test_A007_edit_post","","","","test_edit_post",""
"passed","Wed Aug 04 14:28:35 GMT 2021","Wed Aug 04 14:28:39 GMT 2021","3905","selenium_tests","test_A005_post","","","","test_new_post",""
"passed","Wed Aug 04 14:28:18 GMT 2021","Wed Aug 04 14:28:29 GMT 2021","10371","selenium_tests","test_A000_cookie","","","","test_cookies",""
